ean,name,packageContent,measuringUnit,price
7038010001642,Lettmelk,1.0,LITER,20.60
7039610000318,Egg,12.0,STK,65.90
7044410110310,Hvetemel,2.0,KG,29.90
7038010010187,Meierismør,500.0,GRAM,59.90
7035620021275,Blåbær,400.0,GRAM,34.90
2000434900004,Brokkoli,1.0,STK,14.90
2000459500005,Agurk,1.0,STK,29.90
2000408800002,Paprika,1.0,STK,17.98
7044416013172,Havregryn,1.1,KG,24.90
2302719600006,Ost,2.0,KG,318.0
7033550999886,Brød,650.0,GRAM,40.00
7035620018930,Pasta,500.0,GRAM,22.90
7311041013380,Ris,4.0,KG,69.90
7040512041644,Potet,900.0,GRAM,25.00
7040514001400,Løk,2.0,STK,12.90
7040513005423,Gulrot,400.0,GRAM,12.90
2000406400006,Tomat,1.0,KG,64.90
7035620030673,Kyllingfilet,1.4,KG,150.00
7035620041709,Kjøttdeig,400.0,GRAM,59.90
7035620087509,Laks,500.0,GRAM,62.20
2000401100000,Banan,1.0,KG,19.90
2000413100005,Eple,1.0,KG,29.89
9800001470939,Olivenolje,750.0,ML,99.90
